timestamp,AX,AY,AZ
0,-0.54,-0.40,0.79
18,-0.54,-0.39,0.80
37,-0.46,-0.40,0.75
55,-0.36,-0.41,0.75
74,-0.37,-0.43,0.81
92,-0.47,-0.42,0.83
111,-0.53,-0.40,0.83
129,-0.47,-0.40,0.81
148,-0.37,-0.40,0.81
166,-0.33,-0.40,0.80
185,-0.37,-0.41,0.81
203,-0.42,-0.40,0.87
222,-0.40,-0.40,0.86
240,-0.36,-0.39,0.81
259,-0.35,-0.39,0.80
277,-0.34,-0.39,0.84
296,-0.36,-0.40,0.85
314,-0.45,-0.39,0.83
333,-0.49,-0.37,0.81
351,-0.37,-0.38,0.77
370,-0.26,-0.38,0.80
388,-0.29,-0.37,0.87
407,-0.38,-0.36,0.91
425,-0.38,-0.36,0.91
444,-0.35,-0.38,0.86
462,-0.37,-0.37,0.88
481,-0.35,-0.37,0.87
499,-0.30,-0.37,0.89
518,-0.27,-0.37,0.91
536,-0.34,-0.38,0.89
555,-0.40,-0.36,0.87
573,-0.40,-0.39,0.81
592,-0.38,-0.37,0.85
610,-0.36,-0.39,0.88
629,-0.40,-0.39,0.88
647,-0.48,-0.38,0.86
666,-0.49,-0.38,0.88
684,-0.46,-0.38,0.90
703,-0.45,-0.38,0.91
721,-0.44,-0.37,0.86
740,-0.45,-0.37,0.81
758,-0.46,-0.36,0.79
777,-0.43,-0.36,0.84
795,-0.42,-0.37,0.85
814,-0.49,-0.36,0.85
832,-0.56,-0.36,0.83
851,-0.56,-0.36,0.77
869,-0.56,-0.35,0.72
888,-0.52,-0.35,0.72
906,-0.48,-0.36,0.74
925,-0.49,-0.35,0.78
943,-0.46,-0.35,0.74
962,-0.43,-0.36,0.72
980,-0.44,-0.37,0.72
999,-0.49,-0.37,0.72
1017,-0.57,-0.37,0.75
1036,-0.60,-0.35,0.74
1054,-0.60,-0.35,0.76
1073,-0.63,-0.34,0.74
1091,-0.65,-0.32,0.80
1110,-0.59,-0.31,0.87
1128,-0.54,-0.32,0.92
1147,-0.57,-0.33,0.94
1165,-0.68,-0.33,0.96
1184,-0.78,-0.33,1.01
1202,-0.96,-0.32,1.14
1221,-1.27,-0.29,1.48
1239,-1.46,-0.24,1.73
1258,-1.49,-0.17,1.83
1276,-1.44,-0.11,1.86
1295,-1.49,-0.02,2.00
1313,-1.62,0.10,2.24
1332,-1.76,0.17,2.49
1350,-1.94,0.28,2.64
1369,-1.95,0.37,2.60
1387,-1.63,0.42,2.32
1406,-1.19,0.33,1.95
1424,-0.95,0.40,1.83
1443,-0.84,0.42,1.59
1461,-0.62,0.42,1.23
1480,-0.39,0.42,0.88
1498,-0.16,0.43,0.44
1517,0.15,0.48,0.05
1535,0.60,0.43,-0.24
1554,1.01,0.36,-0.40
1572,1.24,0.39,-0.41
1591,1.30,0.46,-0.51
1609,1.47,0.55,-0.77
1628,1.89,0.58,-1.12
1646,2.50,0.52,-1.49
1665,3.15,0.42,-1.78
1683,3.70,0.32,-1.67
1702,3.94,0.28,-1.33
1720,3.84,0.30,-1.08
1739,3.32,0.43,-1.04
1757,2.54,0.61,-1.17
1776,1.85,0.82,-1.12
1794,1.27,1.00,-0.73
1813,0.78,1.33,-0.10
1831,-0.12,1.50,0.66
1850,-2.29,1.74,1.05
1868,-4.00,2.06,2.04
1887,-4.00,2.28,0.84
1905,-4.00,2.01,0.02
1924,-4.00,2.08,-0.46
1942,-4.00,1.57,0.26
1961,-3.97,0.86,0.98
1979,-3.30,0.64,1.22
1998,-3.40,0.46,1.07
2016,-3.41,0.51,0.47
2035,-2.98,0.50,-0.15
2053,-2.44,0.43,-0.39
2072,-2.00,0.38,-0.29
2090,-1.73,0.40,-0.02
2109,-1.40,0.43,0.18
2127,-0.88,0.42,0.23
2146,-0.33,0.32,0.12
2164,0.20,0.27,0.03
2183,0.54,0.12,-0.17
2201,0.75,0.13,-0.20
2220,0.71,0.14,-0.14
2238,0.65,0.28,-0.07
2257,0.67,0.37,0.06
2275,0.89,0.54,0.28
2294,1.47,0.57,0.45
2312,2.36,0.39,0.42
2331,3.06,0.26,0.48
2349,3.31,0.07,0.80
2368,3.17,0.04,1.20
2386,3.04,0.02,1.41
2405,2.97,0.04,1.19
2423,2.95,0.11,0.70
2442,2.77,0.29,0.30
2460,2.34,0.52,0.17
2479,1.66,0.84,0.32
2497,0.74,1.21,0.44
2516,-0.67,1.45,0.37
2534,-2.21,1.77,-0.51
2553,-4.00,2.03,-0.54
2571,-4.00,1.85,-0.96
2590,-4.00,1.64,-2.38
2608,-4.00,1.42,-1.78
2627,-3.71,0.61,-0.88
2645,-2.26,0.28,0.25
2664,-1.95,0.03,1.02
2682,-2.11,-0.09,1.15
2701,-2.18,-0.14,0.72
2719,-2.03,-0.20,0.00
2738,-1.68,-0.24,-0.29
2756,-1.22,-0.30,-0.21
2775,-0.85,-0.34,0.06
2793,-0.71,-0.35,0.24
2812,-0.74,-0.31,0.25
2830,-0.80,-0.31,0.02
2849,-0.81,-0.28,-0.18
2867,-0.78,-0.29,-0.30
2886,-0.82,-0.28,-0.29
2904,-0.90,-0.27,-0.20
2923,-0.90,-0.26,-0.10
2941,-0.80,-0.27,-0.01
2960,-0.66,-0.31,0.06
2978,-0.65,-0.31,0.14
2997,-0.72,-0.32,0.17
3015,-0.77,-0.30,0.15
3034,-0.77,-0.32,0.15
3052,-0.78,-0.34,0.19
3071,-0.89,-0.33,0.24
3089,-1.07,-0.34,0.20
3108,-1.13,-0.32,0.08
3126,-1.01,-0.34,0.05
