timestamp,AX,AY,AZ
0,-0.47,0.43,-0.74
18,-0.47,0.43,-0.75
37,-0.47,0.43,-0.75
55,-0.47,0.43,-0.75
74,-0.47,0.44,-0.74
92,-0.47,0.44,-0.74
111,-0.48,0.44,-0.74
129,-0.47,0.43,-0.74
148,-0.47,0.43,-0.74
166,-0.47,0.43,-0.74
185,-0.47,0.43,-0.74
203,-0.47,0.43,-0.74
222,-0.47,0.43,-0.74
240,-0.47,0.44,-0.74
259,-0.47,0.44,-0.74
277,-0.47,0.44,-0.74
296,-0.47,0.43,-0.74
314,-0.54,0.20,-0.67
333,-0.59,-0.05,-0.53
351,-0.53,0.69,-0.60
370,-0.51,0.61,-0.96
388,-0.24,0.78,-0.91
407,-0.43,0.47,-0.90
425,-0.45,0.46,-0.71
444,-0.42,0.48,-0.71
462,-0.40,0.47,-0.78
481,-0.39,0.43,-0.83
499,-0.37,0.43,-0.87
518,-0.38,0.35,-0.82
536,-0.40,0.38,-0.78
555,-0.41,0.41,-0.73
573,-0.42,0.42,-0.73
592,-0.40,0.43,-0.78
610,-0.40,0.45,-0.84
629,-0.45,0.41,-0.82
647,-0.49,0.38,-0.69
666,-0.51,0.42,-0.57
684,-0.58,0.41,-0.63
703,-0.41,0.46,-0.90
721,-0.33,0.51,-0.95
740,-0.33,0.76,-0.70
758,-0.28,0.83,-0.71
777,-0.24,0.69,-0.91
795,-0.23,0.61,-0.90
814,-0.08,0.44,-0.74
832,-0.07,0.33,-0.83
851,-0.01,0.50,-0.74
869,-0.03,0.51,-0.73
888,-0.10,0.34,-0.68
906,-0.43,0.16,-0.91
925,-1.54,0.45,-0.77
943,-0.51,0.56,-0.90
962,-0.16,0.63,-0.97
980,-0.07,0.76,-0.70
999,0.06,0.45,-0.90
1017,0.07,0.68,-0.88
1036,0.06,0.88,-0.98
1054,0.22,1.03,-1.00
1073,0.28,0.94,-1.09
1091,0.25,0.89,-1.01
1110,0.25,0.85,-0.92
1128,0.28,0.77,-1.02
1147,0.29,0.75,-1.11
1165,0.21,0.79,-1.12
1184,0.11,0.84,-1.08
1202,-1.25,1.00,-1.02
1221,0.20,0.74,-1.04
1239,0.43,0.75,-0.72
1258,0.46,0.77,-0.61
1276,0.49,0.75,-0.57
1295,0.51,0.79,-0.52
1313,0.51,0.74,-0.52
1332,0.44,0.64,-0.47
1350,0.23,0.63,-0.51
1369,-0.04,0.61,-0.66
1387,-0.27,0.63,-0.81
1406,-0.37,0.71,-0.97
1424,-0.30,0.78,-1.05
1443,-0.09,0.82,-1.07
1461,0.18,0.76,-0.94
1480,0.37,0.73,-0.82
1498,0.47,0.75,-0.76
1517,0.51,0.87,-0.81
1535,0.51,0.79,-0.82
1554,0.38,0.75,-0.83
1572,0.17,0.74,-0.86
1591,-0.01,0.77,-0.87
1609,-0.10,0.77,-0.84
1628,-0.10,0.73,-0.81
1646,-0.06,0.73,-0.80
1665,0.01,0.76,-0.81
1683,0.09,0.79,-0.80
1702,0.11,0.72,-0.73
1720,0.10,0.69,-0.64
1739,0.03,0.70,-0.67
1757,-0.04,0.76,-0.79
1776,-0.09,0.78,-0.93
1794,-0.19,0.73,-1.05
1813,-0.32,0.72,-1.08
1831,-0.44,0.65,-1.01
1850,-0.33,0.40,-1.01
1868,-0.33,0.62,-0.91
1887,-0.19,0.66,-0.75
1905,-0.06,0.53,-0.64
1924,-0.06,0.42,-0.53
1942,-0.17,0.40,-0.57
1961,-0.33,0.44,-0.64
1979,-0.49,0.56,-0.74
1998,-0.63,0.40,-0.82
2016,-0.78,0.43,-0.84
2035,-0.83,0.45,-0.80
2053,-0.73,0.35,-0.73
2072,-0.54,0.26,-0.66
2090,-0.43,0.19,-0.58
2109,-0.53,-0.00,-0.39
2127,-0.59,-0.01,-0.18
2146,-0.90,0.05,-0.20
2164,-1.11,0.03,-0.32
2183,-1.16,-0.02,-0.36
2201,-1.06,-0.02,-0.46
2220,-0.93,-0.14,-0.41
2238,-0.84,-0.14,-0.36
2257,-0.75,-0.14,-0.38
2275,-0.71,-0.14,-0.46
2294,-0.78,-0.09,-0.48
2312,-0.86,-0.10,-0.48
2331,-0.83,-0.09,-0.43
2349,-0.76,-0.10,-0.38
2368,-0.66,-0.23,-0.36
2386,-0.71,-0.25,-0.34
2405,-0.94,-0.27,-0.23
2423,-1.18,-0.20,-0.24
2442,-1.34,-0.18,-0.20
2460,-1.41,-0.16,-0.32
2479,-1.35,-0.17,-0.37
2497,-1.24,-0.19,-0.42
2516,-1.06,-0.22,-0.39
2534,-0.91,-0.25,-0.41
2553,-0.84,-0.24,-0.53
2571,-0.84,-0.23,-0.58
2590,-0.90,-0.23,-0.57
2608,-0.97,-0.23,-0.48
2627,-1.03,-0.24,-0.45
2645,-0.99,-0.20,-0.49
2664,-0.92,-0.21,-0.57
2682,-0.83,-0.22,-0.67
2701,-0.78,-0.25,-0.67
2719,-0.75,-0.23,-0.58
2738,-0.73,-0.24,-0.55
2756,-0.72,-0.23,-0.60
2775,-0.72,-0.21,-0.69
2793,-0.71,-0.20,-0.77
2812,-0.65,-0.22,-0.75
2830,-0.62,-0.24,-0.68
2849,-0.69,-0.26,-0.62
2867,-0.76,-0.24,-0.60
2886,-0.82,-0.24,-0.63
2904,-0.83,-0.24,-0.64
