timestamp,AX,AY,AZ
0,,-0.47,0.90
18,0.03,-0.47,0.91
37,0.04,-0.47,0.90
55,0.04,-0.47,0.90
74,0.05,-0.47,0.91
92,0.04,-0.46,0.91
111,0.05,-0.46,0.89
129,0.06,-0.46,0.91
148,0.04,-0.46,0.91
166,0.05,-0.46,0.91
185,0.05,-0.47,0.91
203,0.04,-0.47,0.91
222,0.04,-0.47,0.90
240,0.04,-0.47,0.90
259,0.03,-0.47,0.90
277,0.03,-0.47,0.90
296,0.03,-0.47,0.90
314,0.03,-0.47,0.90
333,0.03,-0.47,0.91
351,0.04,-0.47,0.91
370,0.04,-0.46,0.91
388,0.04,-0.46,0.90
407,0.04,-0.46,0.89
425,0.04,-0.47,0.91
444,0.04,-0.47,0.92
462,0.04,-0.46,0.90
481,0.02,-0.46,0.90
499,0.02,-0.47,0.90
518,0.03,-0.47,0.90
536,0.03,-0.46,0.90
555,0.04,-0.46,0.91
573,0.04,-0.46,0.90
592,0.04,-0.47,0.90
610,0.04,-0.47,0.91
629,0.04,-0.47,0.90
647,0.04,-0.47,0.91
666,0.04,-0.47,0.90
684,0.04,-0.47,0.91
703,0.03,-0.47,0.91
721,0.03,-0.47,0.90
740,0.04,-0.47,0.89
758,0.03,-0.47,0.91
777,0.04,-0.46,0.91
795,0.04,-0.47,0.90
814,0.04,-0.47,0.91
832,0.05,-0.47,0.91
851,0.05,-0.47,0.90
869,0.05,-0.47,0.91
888,0.04,-0.46,0.91
906,0.03,-0.46,0.90
925,0.03,-0.46,0.89
943,0.04,-0.46,0.90
962,0.04,-0.46,0.91
980,0.04,-0.47,0.91
999,0.05,-0.47,0.90
1017,0.05,-0.47,0.92
1036,0.04,-0.48,0.91
1054,0.05,-0.48,0.90
1073,0.05,-0.48,0.91
1091,0.04,-0.47,0.91
1110,0.05,-0.47,0.91
1128,0.05,-0.47,0.91
1147,0.05,-0.46,0.90
1165,0.05,-0.45,0.90
1184,0.05,-0.45,0.90
1202,0.05,-0.45,0.90
1221,0.04,-0.45,0.90
1239,0.03,-0.45,0.89
1258,0.04,-0.45,0.91
1276,0.04,-0.46,0.91
1295,0.04,-0.47,0.90
1313,0.03,-0.47,0.90
1332,0.03,-0.47,0.90
1350,0.04,-0.47,0.90
1369,0.03,-0.47,0.90
1387,0.04,-0.47,0.91
1406,0.03,-0.47,0.90
1424,0.03,-0.47,0.91
1443,0.03,-0.47,0.91
1461,0.03,-0.47,0.91
1480,0.03,-0.46,0.90
1498,0.04,-0.46,0.90
1517,0.04,-0.46,0.91
1535,0.08,-0.46,0.89
1554,0.10,-0.45,0.88
1572,0.05,-0.46,0.96
1591,-0.02,-0.50,0.97
1609,-0.07,-0.46,0.99
1628,0.03,-0.50,0.95
1646,0.00,-0.48,0.92
1665,-0.03,-0.49,0.91
1683,0.03,-0.50,0.97
1702,-0.02,-0.50,1.00
1720,0.02,-0.53,1.08
1739,0.03,-0.54,1.15
1757,-0.01,-0.56,1.31
1776,-0.05,-0.58,1.48
1794,-0.11,-0.63,1.72
1813,0.06,-0.61,1.80
1831,0.15,-0.59,1.73
1850,0.21,-0.58,1.80
1868,0.23,-0.57,1.77
1887,0.19,-0.54,1.66
1905,0.17,-0.53,1.60
1924,0.19,-0.50,1.56
1942,0.19,-0.47,1.55
1961,0.20,-0.46,1.55
1979,0.24,-0.43,1.63
1998,0.29,-0.43,1.72
2016,0.32,-0.40,1.68
2035,0.33,-0.38,1.78
2053,0.31,-0.37,1.82
2072,0.38,-0.35,1.65
2090,0.37,-0.29,1.45
2109,0.32,-0.27,1.06
2127,0.23,-0.29,1.21
2146,0.16,-0.26,1.06
2164,0.12,-0.19,1.05
2183,0.20,-0.27,0.89
2201,0.22,-0.23,0.67
2220,0.27,-0.22,0.54
2238,0.23,-0.22,0.50
2257,0.19,-0.20,0.40
2275,0.15,-0.21,0.37
2294,0.08,-0.20,0.27
2312,0.04,-0.21,0.21
2331,0.01,-0.22,0.08
2349,0.04,-0.23,0.10
2368,0.06,-0.24,-0.07
2386,-0.13,-0.21,0.14
2405,-0.05,-0.25,-0.04
2423,0.00,-0.27,-0.03
2442,0.05,-0.28,0.03
2460,0.08,-0.27,-0.03
2479,0.04,-0.25,-0.20
2497,-0.03,-0.25,-0.28
2516,-0.10,-0.26,-0.30
2534,-0.19,-0.26,-0.37
2553,-0.21,-0.26,-0.46
2571,-0.24,-0.25,-0.63
2590,-0.32,-0.22,-0.83
2608,-0.24,-0.27,-0.96
2627,-0.25,-0.25,-1.05
2645,-0.25,-0.25,-1.13
2664,-0.28,-0.24,-1.18
2682,-0.34,-0.20,-1.46
2701,-0.32,-0.19,-1.61
2719,-0.45,-0.21,-1.85
2738,-0.59,-0.22,-1.92
2756,-0.70,-0.24,-1.90
2775,-0.77,-0.28,-1.91
2793,-0.78,-0.32,-1.83
2812,-0.81,-0.35,-1.65
2830,-0.83,-0.40,-1.47
2849,-0.82,-0.45,-1.31
2867,-0.77,-0.48,-1.14
2886,-0.70,-0.51,-1.06
2904,-0.61,-0.53,-1.00
2923,-0.56,-0.53,-0.95
2941,-0.54,-0.54,-0.90
2960,-0.49,-0.54,-0.81
2978,-0.43,-0.53,-0.80
2997,-0.34,-0.52,-0.82
3015,-0.28,-0.52,-0.87
3034,-0.24,-0.52,-0.91
3052,-0.20,-0.51,-0.96
3071,-0.19,-0.50,-1.03
3089,-0.25,-0.50,-1.03
3108,-0.30,-0.51,-0.93
3126,-0.39,-0.52,-0.86
3145,-0.35,-0.51,-0.84
3163,-0.32,-0.50,-0.81
3182,-0.28,-0.50,-0.77
3200,-0.20,-0.49,-0.73
3219,-0.11,-0.46,-0.73
3237,-0.03,-0.44,-0.71
3256,0.00,-0.41,-0.65
3274,0.01,-0.38,-0.61
3293,-0.02,-0.35,-0.52
3311,-0.05,-0.31,-0.41
3330,-0.32,-0.32,-0.19
3348,-0.47,-0.36,-0.02
3367,-0.41,-0.34,0.00
3385,-0.31,-0.31,-0.09
3404,-0.23,-0.26,-0.15
3422,-0.16,-0.22,-0.12
3441,-0.04,-0.18,-0.17
3459,0.09,-0.14,0.01
3478,0.20,-0.10,0.19
3496,0.29,-0.08,0.52
3515,0.22,-0.12,0.94
3533,0.05,-0.23,1.37
3552,-0.07,-0.32,1.52
3570,-0.17,-0.34,1.29
3589,-0.09,-0.37,1.10
3607,0.06,-0.33,0.91
3626,0.15,-0.33,0.79
3644,0.21,-0.30,0.81
