timestamp,AX,AY,AZ
3441,0.89,-0.08,-0.56
3459,0.94,-0.04,-0.68
3478,1.03,-0.04,-0.81
3496,1.06,-0.04,-0.68
3515,1.08,-0.02,-0.50
3533,1.23,-0.01,-0.56
3552,1.42,-0.03,-0.70
3570,1.46,-0.05,-0.65
3589,1.38,-0.04,-0.49
3607,1.36,-0.03,-0.44
3626,1.35,-0.02,-0.58
3644,1.28,-0.00,-0.70
3663,1.06,0.02,-0.71
3681,0.79,0.04,-0.69
3700,0.70,0.07,-0.77
3718,0.71,-0.00,-0.78
3737,0.61,-0.03,-0.76
3755,0.33,-0.06,-0.62
3774,-0.05,-0.06,-0.58
3792,-0.38,-0.01,-0.76
3811,-0.41,-0.04,-0.85
3829,-0.47,-0.06,-0.88
3848,-0.56,-0.09,-0.81
3866,-0.71,-0.11,-0.80
3885,-0.83,-0.05,-0.84
3903,-0.75,-0.10,-0.69
3922,-0.76,-0.11,-0.61
3940,-0.92,-0.12,-0.58
3959,-0.96,-0.10,-0.69
3977,-0.87,-0.10,-0.75
3996,-0.79,-0.07,-0.79
4014,-0.56,-0.10,-0.80
4033,-0.31,-0.10,-0.82
4051,-0.20,-0.12,-0.86
4070,-0.19,-0.13,-0.94
4088,-0.06,-0.16,-0.93
4107,0.13,-0.20,-0.70
4125,0.36,-0.25,-0.42
4144,0.62,-0.30,-0.33
4162,0.84,-0.30,-0.46
4181,0.99,-0.31,-0.57
4199,1.06,-0.29,-0.58
4218,1.17,-0.26,-0.53
4236,1.27,-0.29,-0.50
4255,1.23,-0.27,-0.44
4273,1.21,-0.28,-0.30
4292,1.16,-0.28,-0.35
4310,1.11,-0.26,-0.43
4329,1.07,-0.24,-0.50
4347,0.98,-0.18,-0.74
4366,0.98,-0.11,-0.97
4384,1.08,-0.12,-0.99
4403,0.99,-0.13,-0.91
4421,0.69,-0.15,-0.76
4440,0.43,-0.13,-0.66
4458,0.27,-0.14,-0.69
4477,0.15,-0.13,-0.84
4495,0.08,-0.13,-0.95
4514,0.03,-0.14,-0.97
4532,-0.14,-0.13,-0.95
4551,-0.37,-0.12,-0.96
4569,-0.68,-0.10,-1.03
4588,-0.99,-0.06,-1.10
4606,-1.23,-0.06,-1.10
4625,-1.38,-0.05,-1.09
4643,-1.34,-0.05,-1.08
4662,-1.22,-0.06,-1.07
4680,-1.16,-0.07,-0.99
4699,-1.20,-0.08,-0.91
4717,-1.13,-0.07,-0.76
4736,-0.92,-0.08,-0.55
4754,-0.73,-0.10,-0.39
4773,-0.67,-0.06,-0.47
4791,-0.51,-0.01,-0.74
4810,-0.21,0.04,-0.97
4828,0.11,0.04,-1.02
4847,0.47,0.03,-0.89
4865,0.78,-0.00,-0.85
4884,1.00,0.01,-1.03
4902,1.20,0.02,-1.26
4921,1.46,0.02,-1.41
4939,1.63,0.01,-1.41
4958,1.61,0.01,-1.42
4976,1.52,0.00,-1.44
4995,1.43,0.00,-1.42
5013,1.39,-0.01,-1.27
5032,1.34,-0.01,-1.12
5050,1.20,-0.01,-1.06
5069,1.00,0.01,-1.10
5087,0.78,0.02,-1.04
5106,0.57,0.02,-0.94
5124,0.37,-0.00,-0.90
5143,0.20,-0.02,-0.91
5161,0.05,-0.05,-0.90
5180,-0.18,-0.06,-0.86
5198,-0.48,-0.08,-0.81
5217,-0.81,-0.07,-0.89
5235,-1.12,-0.08,-0.88
5254,-1.30,-0.09,-0.81
5272,-1.34,-0.11,-0.77
5291,-1.36,-0.16,-0.78
5309,-1.40,-0.18,-0.77
5328,-1.40,-0.20,-0.74
5346,-1.29,-0.24,-0.63
5365,-1.15,-0.25,-0.46
5383,-1.00,-0.27,-0.33
5402,-0.89,-0.24,-0.35
5420,-0.83,-0.22,-0.43
5439,-0.73,-0.17,-0.55
5457,-0.51,-0.11,-0.66
5476,-0.16,-0.09,-0.76
5494,0.18,-0.11,-0.93
5513,0.46,-0.06,-0.96
5531,0.76,-0.04,-1.04
5550,1.01,-0.06,-1.15
5568,1.22,-0.05,-1.26
5587,1.39,-0.06,-1.32
5605,1.51,-0.07,-1.35
5624,1.50,-0.08,-1.37
5642,1.41,-0.08,-1.34
5661,1.39,-0.09,-1.26
5679,1.35,-0.07,-1.22
5698,1.30,-0.05,-1.22
5716,1.20,-0.04,-1.20
5735,0.99,-0.02,-1.14
5753,0.77,-0.01,-1.07
5772,0.59,-0.00,-0.98
5790,0.41,0.00,-0.92
5809,0.18,-0.01,-0.89
5827,-0.07,-0.03,-0.97
5846,-0.32,-0.05,-1.06
5864,-0.57,-0.06,-1.06
5883,-0.81,-0.07,-0.94
5901,-1.06,-0.11,-0.86
5920,-1.31,-0.10,-0.85
5938,-1.46,-0.12,-0.86
5957,-1.54,-0.13,-0.84
5975,-1.62,-0.16,-0.81
5994,-1.62,-0.17,-0.77
6012,-1.49,-0.18,-0.73
6031,-1.31,-0.18,-0.68
6049,-1.20,-0.19,-0.64
6068,-1.10,-0.17,-0.59
6086,-0.94,-0.14,-0.53
6105,-0.76,-0.12,-0.52
6123,-0.57,-0.07,-0.62
6142,-0.27,-0.03,-0.78
6160,0.08,-0.06,-0.92
6179,0.37,-0.01,-0.92
6197,0.74,0.02,-0.96
6216,1.21,0.02,-1.07
6234,1.64,-0.03,-1.17
6253,1.81,-0.05,-1.32
6271,1.73,-0.05,-1.43
6290,1.60,-0.10,-1.37
6308,1.53,-0.09,-1.24
6327,1.52,-0.10,-1.14
6345,1.46,-0.11,-1.06
6364,1.33,-0.10,-0.97
6382,1.19,-0.08,-0.91
6401,1.09,-0.08,-0.92
6419,0.89,-0.07,-0.98
6438,0.62,-0.05,-0.98
6456,0.37,-0.06,-0.85
6475,0.09,-0.11,-0.78
6493,-0.25,-0.11,-0.87
6512,-0.52,-0.11,-0.92
6530,-0.70,-0.13,-0.90
6549,-0.89,-0.14,-0.89
6567,-1.14,-0.13,-0.88
6586,-1.37,-0.16,-0.86
6604,-1.54,-0.18,-0.82
6623,-1.60,-0.19,-0.78
6641,-1.52,-0.20,-0.76
6660,-1.33,-0.22,-0.75
6678,-1.15,-0.23,-0.73
6697,-1.07,-0.21,-0.72
6715,-1.00,-0.19,-0.67
6734,-0.89,-0.15,-0.62
6752,-0.70,-0.11,-0.71
6771,-0.45,-0.07,-0.81
6789,-0.12,-0.04,-0.79
6808,0.23,-0.08,-0.82
6826,0.58,-0.04,-0.88
6845,0.92,-0.02,-1.10
