timestamp,AX,AY,AZ
3404,-0.12,-0.04,-0.97
3422,-0.17,-0.04,-0.96
3441,-0.19,-0.05,-0.97
3459,-0.12,-0.06,-1.00
3478,-0.15,-0.06,-0.98
3496,-0.17,-0.05,-1.00
3515,-0.16,-0.05,-0.98
3533,-0.11,-0.06,-0.97
3552,-0.15,-0.06,-0.98
3570,-0.14,-0.07,-0.95
3589,-0.13,-0.08,-0.96
3607,-0.17,-0.07,-0.98
3626,-0.13,-0.07,-0.98
3644,-0.09,-0.08,-0.98
3663,-0.11,-0.07,-0.98
3681,-0.11,-0.07,-0.97
3700,-0.11,-0.07,-0.98
3718,-0.11,-0.07,-0.98
3737,-0.06,-0.08,-1.01
3755,-0.07,-0.06,-1.00
3774,-0.10,-0.06,-0.99
3792,-0.10,-0.06,-0.99
3811,-0.07,-0.05,-0.98
3829,-0.08,-0.06,-1.00
3848,-0.09,-0.05,-1.00
3866,-0.03,-0.05,-0.99
3885,-0.03,-0.05,-0.96
3903,-0.03,-0.04,-0.98
3922,-0.05,-0.05,-0.99
3940,-0.03,-0.05,-1.01
3959,-0.02,-0.05,-1.00
3977,-0.00,-0.04,-1.01
3996,0.06,-0.04,-1.04
4014,0.06,-0.02,-1.03
4033,0.04,-0.02,-1.03
4051,0.05,-0.01,-1.07
4070,0.08,-0.00,-1.08
4088,0.10,-0.00,-1.11
4107,0.13,0.00,-1.13
4125,0.15,0.01,-1.11
4144,0.14,0.02,-1.11
4162,0.10,0.03,-1.10
4181,0.07,0.04,-1.10
4199,0.07,0.05,-1.11
4218,0.13,0.04,-1.09
4236,0.08,0.06,-1.08
4255,0.06,0.06,-1.07
4273,0.06,0.06,-1.07
4292,0.06,0.06,-1.05
4310,0.08,0.05,-1.06
4329,0.11,0.04,-1.06
4347,0.09,0.03,-1.07
4366,0.11,0.04,-1.08
4384,0.07,0.05,-1.06
4403,0.05,0.06,-1.05
4421,0.05,0.07,-1.00
4440,0.03,0.06,-1.01
4458,-0.01,0.04,-1.03
4477,-0.06,0.04,-1.01
4495,-0.08,0.03,-1.00
4514,-0.05,0.02,-0.99
4532,-0.06,0.01,-0.96
4551,-0.12,-0.01,-1.01
4569,-0.12,-0.02,-0.97
4588,-0.14,-0.04,-0.93
4606,-0.14,-0.06,-1.00
4625,-0.07,-0.09,-0.94
4643,-0.05,-0.09,-0.84
4662,-0.16,-0.08,-0.86
4680,-0.15,-0.09,-0.92
4699,-0.21,-0.06,-0.92
4717,-0.24,-0.04,-0.94
4736,-0.26,-0.01,-0.92
4754,-0.32,0.00,-0.93
4773,-0.42,0.04,-0.90
4791,-0.41,0.05,-0.84
4810,-0.42,0.05,-0.83
4828,-0.47,0.05,-0.81
4847,-0.51,0.07,-0.73
4865,-0.56,0.06,-0.73
4884,-0.60,0.07,-0.77
4902,-0.68,0.06,-0.83
4921,-0.66,0.04,-0.82
4939,-0.64,0.02,-0.81
4958,-0.58,-0.01,-0.84
4976,-0.61,-0.02,-0.81
4995,-0.61,-0.03,-0.71
5013,-0.61,-0.03,-0.65
5032,-0.75,0.05,-0.62
5050,-0.85,-0.00,-0.65
5069,-0.66,-0.05,-0.78
5087,-0.60,-0.05,-0.77
5106,-0.62,-0.04,-0.67
5124,-0.66,-0.05,-0.76
5143,-0.69,-0.04,-0.82
5161,-0.62,-0.05,-0.79
5180,-0.60,-0.06,-0.80
5198,-0.60,-0.07,-0.80
5217,-0.69,-0.06,-0.80
5235,-0.72,-0.06,-0.74
5254,-0.60,-0.08,-0.78
5272,-0.59,-0.10,-0.76
5291,-0.56,-0.11,-0.83
5309,-0.58,-0.11,-0.86
5328,-0.58,-0.10,-0.78
5346,-0.61,-0.08,-0.71
5365,-0.70,-0.07,-0.70
5383,-0.74,-0.07,-0.72
5402,-0.76,-0.08,-0.79
5420,-0.71,-0.09,-0.78
5439,-0.64,-0.11,-0.80
5457,-0.59,-0.12,-0.84
5476,-0.59,-0.12,-0.87
5494,-0.59,-0.11,-0.81
5513,-0.59,-0.13,-0.88
5531,-0.55,-0.13,-0.87
5550,-0.55,-0.13,-0.83
5568,-0.57,-0.13,-0.81
5587,-0.65,-0.12,-0.79
5605,-0.65,-0.12,-0.74
5624,-0.67,-0.11,-0.76
5642,-0.63,-0.12,-0.81
5661,-0.57,-0.14,-0.80
5679,-0.58,-0.14,-0.77
5698,-0.59,-0.14,-0.79
5716,-0.59,-0.15,-0.77
5735,-0.57,-0.15,-0.78
5753,-0.57,-0.16,-0.79
5772,-0.56,-0.16,-0.72
5790,-0.59,-0.15,-0.74
5809,-0.62,-0.15,-0.75
5827,-0.63,-0.14,-0.73
5846,-0.67,-0.14,-0.72
5864,-0.65,-0.14,-0.72
5883,-0.69,-0.13,-0.72
5901,-0.65,-0.14,-0.81
5920,-0.56,-0.15,-0.82
5938,-0.52,-0.16,-0.80
5957,-0.56,-0.15,-0.82
5975,-0.55,-0.16,-0.78
5994,-0.58,-0.15,-0.74
6012,-0.65,-0.15,-0.76
6031,-0.63,-0.15,-0.75
6049,-0.61,-0.16,-0.77
6068,-0.64,-0.14,-0.77
6086,-0.67,-0.14,-0.76
6105,-0.63,-0.14,-0.77
6123,-0.63,-0.14,-0.76
6142,-0.63,-0.14,-0.79
6160,-0.61,-0.15,-0.80
6179,-0.62,-0.14,-0.77
6197,-0.68,-0.11,-0.78
6216,-0.73,-0.09,-0.73
6234,-0.79,-0.08,-0.79
6253,-0.83,-0.08,-0.80
6271,-0.84,-0.08,-0.74
6290,-0.91,-0.08,-0.70
6308,-0.94,-0.06,-0.70
6327,-0.91,-0.06,-0.69
6345,-0.87,-0.05,-0.69
6364,-0.86,-0.04,-0.71
6382,-0.87,-0.04,-0.71
6401,-0.84,-0.03,-0.70
6419,-0.83,-0.02,-0.68
6438,-0.89,-0.01,-0.67
6456,-0.89,-0.01,-0.68
6475,-0.89,-0.01,-0.67
6493,-0.77,-0.03,-0.67
6512,-0.74,-0.03,-0.69
6530,-0.74,-0.02,-0.70
6549,-0.72,-0.01,-0.67
6567,-0.71,0.01,-0.65
6586,-0.68,0.02,-0.61
6604,-0.64,0.01,-0.64
6623,-0.68,0.04,-0.61
6641,-0.71,0.06,-0.59
6660,-0.73,0.06,-0.60
6678,-0.68,0.07,-0.67
6697,-0.64,0.10,-0.67
6715,-0.58,0.10,-0.72
6734,-0.52,0.04,-0.73
6752,-0.44,0.06,-0.79
6771,-0.51,0.10,-0.77
6789,-0.48,0.11,-0.75
6808,-0.56,0.15,-0.77
6826,-0.59,0.17,-0.76
6845,-0.49,0.15,-0.86
6863,-0.48,0.17,-0.92
6882,-0.51,0.20,-0.95
6900,-0.37,0.18,-1.07
6919,-0.35,0.20,-1.04
6937,-0.39,0.23,-1.01
6956,-0.40,0.25,-1.05
6974,-0.37,0.26,-1.10
6993,-0.43,0.29,-1.03
7011,-0.42,0.35,-0.98
7030,-0.39,0.39,-0.98
7048,-0.30,0.41,-0.99
7067,-0.15,0.42,-1.05
7085,0.05,0.39,-1.15
7104,0.25,0.44,-1.12
7122,0.46,0.32,-1.11
7141,0.46,0.28,-1.12
7159,0.50,0.23,-1.08
7178,0.59,0.18,-1.05
7196,0.52,0.19,-0.97
7215,0.53,0.17,-0.94
7233,0.65,0.14,-0.99
7252,0.61,0.13,-1.03
7270,0.58,0.12,-1.05
7289,0.52,0.11,-1.02
7307,0.53,0.12,-0.99
7326,0.56,0.10,-1.03
7344,0.60,0.07,-1.10
7363,0.56,0.06,-1.10
7381,0.59,0.03,-1.09
7400,0.69,-0.03,-1.10
7418,0.62,-0.03,-1.13
7437,0.67,-0.01,-1.17
7455,0.50,-0.03,-0.98
7474,0.27,0.01,-1.13
7492,0.21,0.05,-1.19
7511,0.31,-0.01,-1.03
7529,0.36,-0.04,-1.15
7548,0.45,0.01,-1.11
7566,0.30,-0.03,-1.09
7585,0.23,-0.06,-1.07
7603,0.31,-0.06,-1.09
7622,0.21,-0.06,-0.99
7640,0.09,-0.01,-0.96
7659,0.06,-0.04,-0.99
7677,0.03,-0.02,-0.99
7696,-0.04,-0.02,-0.99
7714,-0.01,-0.06,-0.96
7733,-0.00,-0.05,-1.02
7751,-0.04,-0.05,-1.03
7770,-0.03,-0.06,-1.03
7788,0.03,-0.07,-0.99
7807,0.06,-0.08,-0.95
7825,-0.03,-0.06,-1.00
7844,-0.04,-0.07,-0.99
7862,-0.04,-0.07,-0.95
7881,-0.06,-0.07,-0.94
7899,-0.07,-0.08,-0.97
7918,-0.07,-0.08,-0.97
7936,-0.05,-0.07,-0.95
7955,-0.04,-0.08,-0.99
7973,-0.03,-0.08,-0.99
7992,-0.03,-0.08,-0.99
8010,0.02,-0.09,-0.96
8029,-0.00,-0.10,-0.98
8047,0.03,-0.10,-0.99
8066,0.07,-0.11,-1.01
8084,0.05,-0.10,-1.00
8103,0.05,-0.10,-0.98
8121,0.03,-0.09,-0.99
8140,-0.00,-0.08,-0.96
8158,-0.04,-0.07,-0.94
8177,-0.01,-0.08,-0.97
8195,0.02,-0.09,-0.98
8214,0.02,-0.09,-0.95
8232,0.03,-0.10,-0.97
8251,0.05,-0.10,-1.00
8269,0.06,-0.10,-1.00
