AX,AY,AZ
0.46,0.35,-1.14
0.32,0.34,-0.86
0.26,0.40,-0.73
0.36,0.47,-0.80
0.56,0.47,-1.08
0.71,0.47,-1.34
0.75,0.44,-1.45
0.74,0.42,-1.44
0.72,0.35,-1.26
0.69,0.30,-1.06
0.60,0.29,-0.96
0.51,0.28,-0.95
0.45,0.31,-1.00
0.46,0.31,-1.10
0.48,0.27,-1.19
0.41,0.26,-1.27
0.36,0.22,-1.19
0.31,0.20,-1.16
0.28,0.19,-0.94
0.27,0.12,-0.88
0.24,0.12,-0.90
0.19,0.08,-0.95
0.11,0.08,-1.00
0.07,0.03,-1.03
-0.00,0.07,-1.09
-0.02,0.08,-0.97
-0.03,0.06,-0.85
-0.05,0.07,-0.90
-0.03,0.07,-0.96
0.00,0.07,-1.03
0.01,0.12,-1.17
-0.02,0.08,-1.02
-0.01,0.06,-1.00
0.02,0.06,-0.93
0.02,0.05,-0.97
-0.01,0.06,-1.00
-0.01,0.06,-1.01
-0.02,0.06,-0.97
-0.01,0.06,-0.94
0.02,0.06,-0.91
0.04,0.06,-0.92
0.02,0.07,-0.98
-0.00,0.09,-1.02
0.00,0.09,-1.05
0.03,0.08,-1.05
0.06,0.09,-1.01
0.06,0.06,-0.93
0.03,0.06,-0.90
0.01,0.08,-0.92
0.03,0.08,-0.96
0.07,0.08,-0.97
0.07,0.08,-0.98
0.04,0.09,-0.98
0.02,0.09,-0.98
0.01,0.09,-0.99
0.01,0.09,-1.01
0.03,0.11,-1.00
0.06,0.09,-0.95
0.09,0.09,-0.91
0.10,0.10,-0.93
0.13,0.12,-1.01
0.17,0.11,-1.04
0.19,0.11,-1.03
0.17,0.11,-1.02
0.16,0.11,-1.01
0.17,0.13,-1.04
0.19,0.14,-1.05
0.20,0.14,-1.02
0.20,0.15,-1.00
0.20,0.16,-1.02
0.22,0.17,-1.06
0.25,0.18,-1.07
0.27,0.19,-1.09
0.31,0.21,-1.13
0.38,0.23,-1.14
0.43,0.25,-1.16
0.46,0.25,-1.19
0.43,0.24,-1.18
0.37,0.24,-1.13
0.30,0.25,-1.08
0.28,0.25,-1.03
0.30,0.27,-1.06
0.33,0.29,-1.15
0.36,0.32,-1.24
0.37,0.34,-1.27
0.38,0.35,-1.21
0.35,0.34,-1.13
0.29,0.35,-1.08
0.24,0.36,-1.09
0.24,0.36,-1.12
0.29,0.36,-1.09
0.32,0.36,-1.02
0.26,0.38,-1.00
0.16,0.39,-1.03
0.12,0.43,-1.09
0.19,0.42,-1.04
0.20,0.40,-0.99
0.11,0.43,-0.95
0.02,0.39,-0.86
-0.02,0.39,-0.78
-0.02,0.36,-0.70
-0.02,0.36,-0.69
-0.09,0.35,-0.73
-0.18,0.36,-0.82
-0.23,0.36,-0.85
-0.24,0.35,-0.79
-0.26,0.37,-0.67
-0.35,0.34,-0.64
-0.53,0.33,-0.63
-0.68,0.33,-0.57
-0.71,0.28,-0.49
-0.71,0.24,-0.43
-0.73,0.16,-0.42
-0.77,0.23,-0.29
-0.88,0.16,-0.49
-1.04,0.19,-0.75
-1.10,0.12,-0.51
